Year,Median,Mean,0.025,0.05,0.1,0.9,0.95,0.975,CV
1948,260373,270126,66964,133600,167328,390522,417007,458265,34%
1949,529169,506818,166834,205402,245473,727075,777909,788662,37%
1950,1327597,1374090,548409,606178,751762,2072404,2222319,2442625,39%
1951,1053155,1063850,462383,480239,567070,1535479,1756137,1860144,35%
1952,2002184,1960687,431078,623180,1033410,2884615,3002169,3274946,37%
1953,1758868,1755973,410205,872589,949455,2480583,2727825,2796236,37%
1954,554009,556844,165405,236022,322388,818298,903726,964753,37%
1955,721736,721407,262719,287051,350048,1123798,1165453,1197984,38%
1956,671183,696326,172619,344391,431335,1006680,1074952,1181306,34%
1957,588740,563873,185615,228525,273107,808925,865482,877446,37%
1958,813303,841785,335962,371352,460539,1269581,1361421,1496383,39%
1959,1261225,1274034,553735,575120,679105,1838841,2103095,2227650,35%
1960,301312,295067,64874,93783,155520,434111,451802,492853,37%
1961,405168,404501,94494,201007,218714,571420,628374,644133,37%
1962,1062153,1067588,317117,452505,618085,1568851,1732633,1849635,37%
1963,3058202,3056811,1113216,1216317,1483255,4761858,4938358,5076202,38%
1964,1553558,1611754,399553,797146,998391,2330116,2488142,2734316,34%
1965,261228,250195,82359,101398,121180,358926,384021,389329,37%
1966,442532,458030,182803,202059,250587,690801,740773,814208,39%
1967,933115,942591,409679,425501,502434,1360462,1555970,1648122,35%
1968,1870893,1832117,402810,582315,965645,2695460,2805306,3060196,37%
1969,177457,177165,41387,88038,95793,250273,275218,282120,37%
1970,170488,171360,50901,72632,99210,251818,278107,296887,37%
1971,549253,549003,199934,218451,266393,855230,886929,911686,38%
1972,358736,372174,92262,184071,230541,538053,574543,631388,34%
1973,2899338,2776877,914089,1125408,1344959,3983672,4262198,4321113,37%
1974,965797,999619,398955,440981,546890,1507627,1616687,1776954,39%
1975,873895,882770,383679,398497,470547,1274121,1457220,1543524,35%
1976,416848,408209,89749,129744,215152,600567,625042,681833,37%
1977,393233,392585,91710,195086,212271,554587,609864,625159,37%
1978,844895,849218,252252,359947,491659,1247950,1378231,1471301,37%
1979,400625,400442,145831,159338,194306,623803,646925,664982,38%
1980,407917,423198,104910,209306,262147,611818,653311,717949,34%
1981,937928,898312,295705,364066,435091,1288707,1378809,1397868,37%
1982,1393379,1442175,575582,636214,789012,2175090,2332434,2563656,39%
1983,1027546,1037982,451139,468562,553281,1498142,1713435,1814913,35%
1984,654484,640920,140913,203708,337806,942938,981365,1070532,37%
1985,1365792,1363544,318532,677581,737269,1926217,2118205,2171327,37%
1986,1116468,1122181,333333,475644,649692,1649076,1821233,1944219,37%
1987,937033,936607,341089,372680,454469,1459033,1513113,1555348,38%
1988,494708,513240,127232,253840,317923,741992,792313,870704,34%
1989,269971,258568,85115,104792,125236,370939,396874,402359,37%
1990,553165,572537,228504,252574,313234,863501,925966,1017760,39%
1991,554839,560474,243599,253007,298752,808944,925195,979989,35%
1992,594091,581778,127910,184911,306635,855927,890808,971746,37%
1993,420872,420179,98156,208798,227191,593568,652729,669099,37%
1994,156909,157712,46847,66847,91308,231762,255957,273242,37%
1995,223249,223147,81265,88791,108278,347616,360500,370563,38%
1996,87977,91273,22626,45142,56538,131953,140902,154843,34%
1997,526634,504390,166035,204418,244297,723592,774183,784884,37%
1998,71523,74028,29545,32657,40500,111648,119725,131594,39%
1999,7555,7631,3317,3445,4068,11014,12597,13343,35%
2000,46214,45257,9950,14384,23853,66583,69296,75592,37%
2001,65958,65849,15383,32722,35605,93022,102293,104859,37%
2002,200964,201993,60000,85616,116945,296834,327822,349959,37%
2003,283190,283061,103084,112631,137349,440948,457292,470056,38%
2004,224210,232609,57664,115044,144088,336283,359089,394617,34%
2005,314649,301359,99201,122134,145961,432326,462553,468947,37%
2006,214688,222206,88684,98026,121569,335132,359375,395001,39%
2007,210503,212641,92420,95990,113345,306909,351014,371803,35%
2008,181549,177786,39088,56507,93705,261564,272223,296957,37%
2009,164391,164121,38340,81556,88740,231846,254954,261348,37%
2010,219799,220924,65623,93640,127905,324654,358546,382759,37%
2011,831831,831453,302795,330838,403445,1295225,1343233,1380727,38%
2012,288725,299540,74256,148147,185548,433046,462414,508165,34%
2013,406541,389370,128172,157803,188588,558585,597639,605900,37%
2014,242161,250641,100033,110570,137126,378018,405363,445548,39%
2015,312425,315598,137169,142466,168225,455510,520970,551824,35%
2016,593342,581045,127749,184678,306248,854849,889685,970522,37%
2017,148078,147834,34535,73463,79934,208838,229654,235413,37%
2018,349225,351012,104265,148779,203220,515822,569672,608141,37%
2019,54418,54393,19809,21643,26393,84733,87873,90326,38%
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
