Brood_year,Juv_index,PS_weight
1951,4.99,
1952,4.6,
1953,5.04,
1954,3.37,
1955,3.33,
1956,3.52,
1957,2.34,
1958,4.9,1.28
1959,5.27,1.18
1960,4.63,1.44
1961,4.55,1.39
1962,3.92,1.46
1963,5.85,0.85
1964,6.14,1.11
1965,3.28,1.82
1966,5.45,1.03
1967,3.12,1.61
1968,6.14,0.87
1969,5.6,1.05
1970,5.57,1.06
1971,4.45,1.43
1972,5.21,1.18
1973,5.96,0.93
1974,5.66,1.03
1975,4.87,1.29
1976,,
1977,,
1978,,
1979,,
1980,,
1981,5.56,
1982,6.32,
1983,,
1984,5.54,
1985,6.9,
1986,,
1987,6.57,
1988,4.03,1.57
1989,1.97,2.25
1990,4.56,
1991,4.84,1.3
1992,,
1993,,
1994,4.94,1.41
1995,3.93,1.73
1996,2.08,2.74
1997,4.16,1.21
1998,1.57,2.83
1999,1.04,
2014,,2.8
2015,,2
2016,,2.3
2017,,5.1
2018,,2.3
