"","V1","V2","V3","V4","V5"
"1",0.02,0.262413793103448,0.708275862068966,0.00896551724137931,50
"2",0.02,0.262413793103448,0.708275862068966,0.00896551724137931,50
"3",0.02,0.262413793103448,0.708275862068966,0.00896551724137931,50
"4",0.02,0.262413793103448,0.708275862068966,0.00896551724137931,50
"5",0.02,0.262413793103448,0.708275862068966,0.00896551724137931,50
"6",0.02,0.262413793103448,0.708275862068966,0.00896551724137931,50
"7",0.02,0.262413793103448,0.708275862068966,0.00896551724137931,50
"8",0.02,0.262413793103448,0.708275862068966,0.00896551724137931,50
"9",0.02,0.262413793103448,0.708275862068966,0.00896551724137931,50
"10",0.02,0.262413793103448,0.708275862068966,0.00896551724137931,50
"11",0.02,0.262413793103448,0.708275862068966,0.00896551724137931,50
"12",0.02,0.262413793103448,0.708275862068966,0.00896551724137931,50
"13",0,0.43,0.57,0,50
"14",0,0.31,0.69,0,50
"15",0,0.53,0.47,0,50
"16",0.01,0.47,0.52,0,50
"17",0.02,0.12,0.86,0,50
"18",0,0.36,0.64,0,50
"19",0,0.42,0.58,0,50
"20",0,0.4,0.6,0,50
"21",0.02,0.262413793103448,0.708275862068966,0.00896551724137931,50
"22",0.02,0.262413793103448,0.708275862068966,0.00896551724137931,50
"23",0.1,0.4,0.5,0,50
"24",0.02,0.76,0.22,0,50
"25",0.05,0.81,0.14,0,50
"26",0,0.06,0.94,0,50
"27",0.03,0.19,0.78,0,50
"28",0.01,0.47,0.52,0,50
"29",0.02,0.262413793103448,0.708275862068966,0.00896551724137931,50
"30",0.02,0.262413793103448,0.708275862068966,0.00896551724137931,50
"31",0.02,0.03,0.95,0,50
"32",0.02,0.57,0.41,0,50
"33",0,0.17,0.83,0,50
"34",0.01,0.34,0.65,0,50
"35",0.02,0.262413793103448,0.708275862068966,0.00896551724137931,50
"36",0.01,0.19,0.8,0,50
"37",0,0.62,0.38,0,50
"38",0,0.21,0.79,0,50
"39",0,0.17,0.83,0,50
"40",0.04,0.09,0.87,0,50
"41",0,0.04,0.96,0,50
"42",0.07,0.37,0.55,0.01,237
"43",0.01,0.2,0.78,0.02,466
"44",0.1,0.23,0.65,0.02,809
"45",0.01,0.07,0.87,0.05,343
"46",0.02,0.15,0.82,0.02,635
"47",0.01,0.18,0.76,0.05,97
"48",0,0.05,0.95,0,545
"49",0.01,0.38,0.58,0.02,279
"50",0,0.14,0.84,0.02,376
"51",0.01,0.04,0.94,0,500
"52",0.09,0.43,0.46,0.02,145
"53",0,0.64,0.35,0,531
"54",0.01,0.38,0.6,0,766
"55",0.01,0.32,0.67,0.01,1038
"56",0.06,0.15,0.77,0.02,694
"57",0.03,0.76,0.21,0,571
"58",0.02,0.5,0.48,0,647
"59",0.01,0.14,0.85,0,534
"60",0.01,0.05,0.94,0,526
"61",0.01,0.83,0.17,0,574
"62",0.03,0.46,0.51,0,521
"63",0,0.36,0.64,0,241
"64",0,0.03,0.97,0,291
"65",0.02,0.84,0.14,0,603
"66",0.01,0.22,0.77,0,534
"67",0.05,0.44,0.5,0.01,478
"68",0.01,0.48,0.51,0,478
"69",0.01,0.17,0.81,0,618
"70",0.06,0.64,0.3,0,430
"71",0.01,0.23,0.76,0,468
"72",0,0.19,0.81,0,32
