SpeciesId,Species Name,StatArea/CU,Year,T_Idx_E,ExpFactor1,AdjSum,ExpFactor2,ObsE,ExpFactor3,TE,CDN Harvest,CDN ER,TRTC,Total Harvest,Total ER,Total Run,Q1,Q2,Q3
SX,Sockeye,9,1954,91800,1,91800,6.29,577422,1,577422,575664,0.499237698,1153086,575664,0.499237698,1153086,2.375,5,0.79491256
SX,Sockeye,9,1955,118000,1,118000,6.29,742220,1,742220,584245,0.440452632,1326465,584245,0.440452632,1326465,2.375,5,0.79491256
SX,Sockeye,9,1956,116000,1,116000,6.29,729640,1,729640,1072332,0.595088048,1801972,1072332,0.595088048,1801972,2.375,5,0.79491256
SX,Sockeye,9,1957,92900,1,92900,6.29,584341,1,584341,373976,0.390242477,958317,373976,0.390242477,958317,2.375,5,0.79491256
SX,Sockeye,9,1958,136000,1,136000,6.29,855440,1,855440,1017545,0.543274506,1872985,1017545,0.543274506,1872985,2.375,5,0.79491256
SX,Sockeye,9,1959,197000,1,197000,6.29,1239130,1,1239130,439419,0.26178503,1678549,439419,0.26178503,1678549,2.375,5,0.79491256
SX,Sockeye,9,1960,45900,1,45900,6.29,288711,1,288711,516503,0.641448112,805214,516503,0.641448112,805214,2.375,5,0.79491256
SX,Sockeye,9,1961,64500,1,64500,6.29,405705,1,405705,842953,0.675087174,1248658,842953,0.675087174,1248658,2.375,5,0.79491256
SX,Sockeye,9,1962,176000,1,176000,6.29,1107040,1,1107040,1035917,0.483405407,2142957,1035917,0.483405407,2142957,2.375,5,0.79491256
SX,Sockeye,9,1963,5.00E+05,1,5.00E+05,6.29,3145000,1,3145000,437459,0.122111377,3582459,437459,0.122111377,3582459,2.375,5,0.79491256
SX,Sockeye,9,1964,268500,1,268500,6.29,1688865,1,1688865,1054391,0.384357493,2743256,1054391,0.384357493,2743256,2.375,5,0.79491256
SX,Sockeye,9,1965,37575,1.097017069,41220.41638,6.29,259276.4191,1,259276.4191,645359,0.713391258,904635.4191,645359,0.713391258,904635.4191,2.375,4.557814221,0.79491256
SX,Sockeye,9,1966,74000,1,74000,6.29,465460,1,465460,528497,0.531710124,993957,528497,0.531710124,993957,2.375,5,0.79491256
SX,Sockeye,9,1967,145750,1,145750,6.29,916767.5,1,916767.5,1103138,0.54613347,2019905.5,1103138,0.54613347,2019905.5,2.375,5,0.79491256
SX,Sockeye,9,1968,285000,1,285000,6.29,1792650,1,1792650,2728652,0.603510228,4521302,2728652,0.603510228,4521302,2.375,5,0.79491256
SX,Sockeye,9,1969,28250,1,28250,6.29,177692.5,1,177692.5,729830,0.804200447,907522.5,729830,0.804200447,907522.5,2.375,5,0.79491256
SX,Sockeye,9,1970,28250,1,28250,6.29,177692.5,1,177692.5,21019,0.105776465,198711.5,21019,0.105776465,198711.5,2.375,5,0.79491256
SX,Sockeye,9,1971,89800,1,89800,6.29,564842,1,564842,403738,0.416834954,968580,403738,0.416834954,968580,2.375,5,0.79491256
SX,Sockeye,9,1972,62000,1,62000,6.29,389980,1,389980,379856,0.493424574,769836,379856,0.493424574,769836,2.375,5,0.79491256
SX,Sockeye,9,1973,457500,1,457500,6.29,2877675,1,2877675,1762156,0.379788833,4639831,1762156,0.379788833,4639831,2.375,5,0.79491256
SX,Sockeye,9,1974,161500,1,161500,6.29,1015835,1,1015835,120574,0.106100884,1136409,120574,0.106100884,1136409,2.375,5,0.79491256
SX,Sockeye,9,1975,136500,1,136500,6.29,858585,1,858585,43031,0.047726527,901616,43031,0.047726527,901616,2.375,5,0.79491256
SX,Sockeye,9,1976,63500,1,63500,6.29,399415,1,399415,614193,0.60594727,1013608,614193,0.60594727,1013608,2.375,5,0.79491256
SX,Sockeye,9,1977,62600,1,62600,6.29,393754,1,393754,660654,0.626563911,1054408,660654,0.626563911,1054408,2.375,5,0.79491256
SX,Sockeye,9,1978,140000,1,140000,6.29,880600,1,880600,578908,0.396645993,1459508,578908,0.396645993,1459508,2.375,5,0.79491256
SX,Sockeye,9,1979,65500,1,65500,6.29,411995,1,411995,28828,0.065395862,440823,28828,0.065395862,440823,2.375,5,0.79491256
SX,Sockeye,9,1980,70500,1,70500,6.29,443445,1,443445,9185,0.020292513,452630,9185,0.020292513,452630,2.375,5,0.79491256
SX,Sockeye,9,1981,148000,1,148000,6.29,930920,1,930920,99506,0.096567827,1030426,99506,0.096567827,1030426,2.375,5,0.79491256
SX,Sockeye,9,1982,233000,1,233000,6.29,1465570,1,1465570,44680,0.029584506,1510250,44680,0.029584506,1510250,2.375,5,0.79491256
SX,Sockeye,9,1983,160500,1,160500,6.29,1009545,1,1009545,37688,0.035988171,1047233,37688,0.035988171,1047233,2.375,5,0.79491256
SX,Sockeye,9,1984,99700,1,99700,6.29,627113,1,627113,55679,0.081546064,682792,55679,0.081546064,682792,2.375,5,0.79491256
SX,Sockeye,9,1985,217425,1,217425,6.29,1367603.25,1,1367603.25,185543,0.119462671,1553146.25,185543,0.119462671,1553146.25,2.375,5,0.79491256
SX,Sockeye,9,1986,185000,1,185000,6.29,1163650,1,1163650,338441,0.225313247,1502091,338441,0.225313247,1502091,2.375,5,0.79491256
SX,Sockeye,9,1987,153200,1,153200,6.29,963628,1,963628,399854,0.293259464,1363482,399854,0.293259464,1363482,2.375,5,0.79491256
SX,Sockeye,9,1988,85500,1,85500,6.29,537795,1,537795,373018,0.409544001,910813,373018,0.409544001,910813,2.375,5,0.79491256
SX,Sockeye,9,1989,42600,1,42600,6.29,267954,1,267954,64746,0.194607755,332700,64746,0.194607755,332700,2.375,5,0.79491256
SX,Sockeye,9,1990,92500,1,92500,6.29,581825,1,581825,235178,0.287854512,817003,235178,0.287854512,817003,2.375,5,0.79491256
SX,Sockeye,9,1991,79000,1.097017069,86664.34849,6.29,545118.752,1,545118.752,169219,0.236889342,714337.752,169219,0.236889342,714337.752,2.375,4.557814221,0.79491256
SX,Sockeye,9,1992,90500,1,90500,6.29,569245,1,569245,509157,0.472140259,1078402,509157,0.472140259,1078402,2.375,5,0.79491256
SX,Sockeye,9,1993,67000,1,67000,6.29,421430,1,421430,85887,0.169296515,507317,85887,0.169296515,507317,2.375,5,0.79491256
SX,Sockeye,9,1994,26000,1,26000,6.29,163540,1,163540,41702,0.203184533,205242,41702,0.203184533,205242,2.375,5,0.79491256
SX,Sockeye,9,1995,36500,1,36500,6.29,229585,1,229585,49680,0.177895547,279265,49680,0.177895547,279265,2.375,5,0.79491256
SX,Sockeye,9,1996,15205,1,15205,6.29,95639.45,1,95639.45,2697,0.027426249,98336.45,2697,0.027426249,98336.45,2.375,5,0.79491256
SX,Sockeye,9,1997,83100,1,83100,6.29,522699,1,522699,1927,0.003673093,524626,1927,0.003673093,524626,2.375,5,0.79491256
