"year","3_yr_olds","4_yr_olds","5_yr_olds","6_yr_olds","ESS"
1948,0.02,0.262413793103448,0.708275862068966,0.00896551724137931,25
1949,0.02,0.262413793103448,0.708275862068966,0.00896551724137931,25
1950,0.02,0.262413793103448,0.708275862068966,0.00896551724137931,25
1951,0.02,0.262413793103448,0.708275862068966,0.00896551724137931,25
1952,0.02,0.262413793103448,0.708275862068966,0.00896551724137931,25
1953,0.02,0.262413793103448,0.708275862068966,0.00896551724137931,25
1954,0.02,0.262413793103448,0.708275862068966,0.00896551724137931,25
1955,0.02,0.262413793103448,0.708275862068966,0.00896551724137931,25
1956,0.02,0.262413793103448,0.708275862068966,0.00896551724137931,25
1957,0.02,0.262413793103448,0.708275862068966,0.00896551724137931,25
1958,0.02,0.262413793103448,0.708275862068966,0.00896551724137931,25
1959,0.02,0.262413793103448,0.708275862068966,0.00896551724137931,25
1960,0,0.43,0.57,0,25
1961,0,0.31,0.69,0,25
1962,0,0.53,0.47,0,25
1963,0.01,0.47,0.52,0,25
1964,0.02,0.12,0.86,0,25
1965,0,0.36,0.64,0,25
1966,0,0.42,0.58,0,25
1967,0,0.4,0.6,0,25
1968,0.02,0.262413793103448,0.708275862068966,0.00896551724137931,25
1969,0.02,0.262413793103448,0.708275862068966,0.00896551724137931,25
1970,0.1,0.4,0.5,0,25
1971,0.02,0.76,0.22,0,25
1972,0.05,0.81,0.14,0,25
1973,0,0.06,0.94,0,25
1974,0.03,0.19,0.78,0,25
1975,0.01,0.47,0.52,0,25
1976,0.02,0.262413793103448,0.708275862068966,0.00896551724137931,25
1977,0.02,0.262413793103448,0.708275862068966,0.00896551724137931,25
1978,0.02,0.03,0.95,0,25
1979,0.02,0.57,0.41,0,25
1980,0,0.17,0.83,0,25
1981,0.01,0.34,0.65,0,25
1982,0.02,0.262413793103448,0.708275862068966,0.00896551724137931,25
1983,0.01,0.19,0.8,0,25
1984,0,0.62,0.38,0,25
1985,0,0.21,0.79,0,25
1986,0,0.17,0.83,0,25
1987,0.04,0.09,0.87,0,25
1988,0,0.04,0.96,0,25
1989,0.07,0.37,0.55,0.01,60
1990,0.01,0.2,0.78,0.02,60
1991,0.1,0.23,0.65,0.02,60
1992,0.01,0.07,0.87,0.05,60
1993,0.02,0.15,0.82,0.02,60
1994,0.01,0.18,0.76,0.05,60
1995,0,0.05,0.95,0,60
1996,0.01,0.38,0.58,0.02,60
1997,0,0.14,0.84,0.02,60
1998,0.01,0.04,0.94,0,60
1999,0.09,0.43,0.46,0.02,60
2000,0,0.64,0.35,0,60
2001,0.01,0.38,0.6,0,60
2002,0.01,0.32,0.67,0.01,60
2003,0.06,0.15,0.77,0.02,60
2004,0.03,0.76,0.21,0,60
2005,0.02,0.5,0.48,0,60
2006,0.01,0.14,0.85,0,60
2007,0.01,0.05,0.94,0,60
2008,0.01,0.83,0.17,0,60
2009,0.03,0.46,0.51,0,60
2010,0,0.36,0.64,0,60
2011,0,0.03,0.97,0,60
2012,0.02,0.84,0.14,0,60
2013,0.01,0.22,0.77,0,60
2014,0.05,0.44,0.5,0.01,60
2015,0.01,0.48,0.51,0,60
2016,0.01,0.17,0.81,0,60
2017,0.06,0.64,0.3,0,60
2018,0.01,0.23,0.76,0,60
2019,0,0.19,0.81,0,60
