"year","3_yr_olds","4_yr_olds","5_yr_olds","6_yr_olds","ESS"
1948,0.005,0.55,0.45,0.005,100
1949,0,0.84,0.15,0,100
1950,0.005,0.13,0.87,0.005,100
1951,0,0.38,0.61,0,100
1952,0,0.41,0.59,0,100
1953,0,0.73,0.27,0,100
1954,0,0.6,0.4,0,100
1955,0,0.45,0.55,0,100
1956,0,0.1,0.9,0,100
1957,0,0.65,0.35,0,100
1958,0.005,0.28,0.71,0.005,100
1959,0.01,0.19,0.79,0.01,100
1960,0.025,0.38,0.57,0.025,100
1961,0.01,0.49,0.49,0.01,100
1962,0.005,0.9,0.09,0.005,100
1963,0.015,0.37,0.6,0.015,100
1964,0.04,0.13,0.79,0.04,100
1965,0.02,0.69,0.27,0.02,100
1966,0.005,0.34,0.65,0.005,100
1967,0.01,0.78,0.2,0.01,100
1968,0.015,0.07,0.9,0.015,100
1969,0.02,0.35,0.61,0.02,100
1970,0.055,0.4,0.49,0.055,100
1971,0.01,0.75,0.23,0.01,100
1972,0.035,0.48,0.45,0.035,100
1973,0,0.06,0.94,0,100
1974,0.015,0.19,0.78,0.015,100
1975,0.005,0.47,0.52,0.005,100
1976,0.01,0.47,0.51,0.01,100
1977,0.01,0.44,0.54,0.01,100
1978,0.01,0.04,0.94,0.01,100
1979,0.01,0.57,0.41,0.01,100
1980,0,0.17,0.83,0,100
1981,0.005,0.34,0.65,0.005,100
1982,0.015,0.12,0.85,0.015,100
1983,0.005,0.19,0.8,0.005,100
1984,0,0.74,0.26,0,100
1985,0,0.38,0.62,0,100
1986,0,0.34,0.66,0,100
1987,0,0.42,0.58,0,100
1988,0,0.18,0.82,0,100
1989,0,0.43,0.54,0.03,100
1990,0.01,0.11,0.86,0.03,100
1991,0.01,0.26,0.71,0.02,100
1992,0.01,0.09,0.9,0.01,100
1993,0.01,0.34,0.63,0.02,100
1994,0.01,0.34,0.62,0.03,100
1995,0,0.07,0.93,0,100
1996,0,0,0,0,100
1997,0,0,0,0,100
1998,0,0,0,0,100
1999,0,0,0,0,100
2000,0,0,0,0,100
2001,0,0,0,0,100
2002,0,0,0,0,100
2003,0,0,0,0,100
2004,0,0,0,0,100
2005,0,0,0,0,100
2006,0,0,0,0,100
2007,0,0,0,0,100
2008,0,0,0,0,100
2009,0,0,0,0,100
2010,0,0,0,0,100
2011,0,0,0,0,100
2012,0,0,0,0,100
2013,0,0,0,0,100
2014,0,0,0,0,100
2015,0,0,0,0,100
2016,0,0,0,0,100
2017,0,0,0,0,100
2018,0,0,0,0,100
2019,0,0,0,0,100
