year,catch
1948,451727
1949,603120
1950,1549338
1951,1016495
1952,938722
1953,1522285
1954,575664
1955,584245
1956,1072332
1957,373976
1958,1017545
1959,439419
1960,516503
1961,842953
1962,1035917
1963,437459
1964,1054391
1965,645359
1966,528497
1967,1103138
1968,2728652
1969,729830
1970,21019
1971,403738
1972,379856
1973,1762156
1974,120574
1975,43031
1976,614193
1977,660654
1978,578908
1979,28828
1980,9185
1981,99506
1982,44680
1983,37688
1984,55679
1985,185543
1986,338441
1987,399854
1988,373018
1989,64746
1990,235178
1991,169219
1992,509157
1993,85887
1994,41702
1995,49680
1996,2697
1997,1927
1998,2161
1999,657
2000,200
2001,1600
2002,1397
2003,1159
2004,1551
2005,1413
2006,1216
2007,1251
2008,4278
2009,2218
2010,2840
2011,898
2012,1616
2013,1098
2014,2506
2015,865
2016,2500
2017,2175
2018,1828
2019,1974
