year,csi
1948,45000
1949,83500
1950,222000
1951,164500
1952,305000
1953,280000
1954,91800
1955,118000
1956,116000
1957,92900
1958,136000
1959,197000
1960,45900
1961,64500
1962,176000
1963,500000
1964,268500
1965,41220.41638
1966,74000
1967,145750
1968,285000
1969,28250
1970,28250
1971,89800
1972,62000
1973,457500
1974,161500
1975,136500
1976,63500
1977,62600
1978,140000
1979,65500
1980,70500
1981,148000
1982,233000
1983,160500
1984,99700
1985,217425
1986,185000
1987,153200
1988,85500
1989,42600
1990,92500
1991,86664.34849
1992,90500
1993,67000
1994,26000
1995,36500
1996,15205
1997,83100
1998,11960
1999,1180
2000,7040
2001,10500
2002,33300
2003,46300
2004,38750
2005,49650
2006,35900
2007,32880
2008,27656
2009,26170
2010,36420.96671
2011,136000
2012,49900
2013,64150
2014,39670
2015,48784
2016,86638
2017,23574
2018,57867
2019,8897
